"id","user_id","repertoire_id","chapter_id","repertoire_title","chapter_title","color","date","moves_learned","total_moves","errors","total_chapters","is_revision"
"36","9","LDCZvBvp","HG4QSDt9","The Fried Liver Attack Guide","Chapter 1 - Opening Position","white","2026-03-25 13:37:30.006","17","17","4","6","1"
"40","9","whCVdUeM","2wsPE3lc","Stafford Gambit Traps","Drag white's king to e4 (before move 10!)","black","2026-03-25 19:36:40.911","0","11","0","10","0"
"53","9","VanHKcn9","01FTnE19","Nimzo","Test","white","2026-03-26 10:07:51.08","0","12","0","4","0"
"55","9","whCVdUeM","SogzMBTz","Stafford Gambit Traps","Everyone falls for this trap 😁","black","2026-03-26 10:12:32.56","0","13","0","10","0"
"61","9","whCVdUeM","1qG3NOtV","Stafford Gambit Traps","Introduction","black","2026-03-26 13:29:58.908","4","4","2","10","1"
"63","9","LDCZvBvp","9rebQNSE","The Fried Liver Attack Guide","Chapitre 3","white","2026-03-26 13:32:20.028","0","25","0","6","0"
"82","9","VanHKcn9","XN2mSXol","Nimzo","Chapitre : 4","white","2026-03-26 14:22:45.427","2","2","1","4","1"
"99","1","LwoJI6UV","IeiGv71l","Benoni","g3","black","2026-03-27 13:26:39.626","48","48","9","5","1"
"108","1","LwoJI6UV","UBwrqQkR","Benoni","Lignes avec Da4+","black","2026-03-27 13:40:20.726","36","36","0","5","1"
"110","1","LwoJI6UV","Oi2eIMnr","Benoni","f4 - Fb5+","black","2026-03-27 13:43:57.119","43","43","5","5","1"
"112","1","PZLELUzw","PoyY8ra9","Nimzo-Indienne","Cf3","black","2026-03-27 13:47:02.051","64","64","1","4","1"
"129","1","0Scd05Lv","6TUi0Eva","Système de Londres","d5 c5 Cc6","white","2026-03-27 23:19:33.167","75","75","6","10","1"
"147","1","0Scd05Lv","N1XBFe39","Système de Londres","Variante Glenn","white","2026-03-27 23:32:24.326","26","26","0","10","1"
"151","1","0Scd05Lv","Ekeok9Wb","Système de Londres","Grünfeld","white","2026-03-27 23:38:32.372","50","50","3","10","1"
"161","1","0Scd05Lv","fqKai9H9","Système de Londres","Est-Indienne","white","2026-03-28 00:01:31.924","44","44","2","10","1"
"165","1","0Scd05Lv","c5djqYfD","Système de Londres","Cf6 c5 II","white","2026-03-28 00:03:55.31","0","21","0","10","0"
"190","1","uajl8zTQ","LeQAtrA6","Trompowsky","Chapitre : 3","black","2026-03-28 21:51:04.714","0","27","0","6","0"
"205","1","0Scd05Lv","Wbivd5rO","Système de Londres","d5 Cf6 c5","white","2026-03-28 22:43:29.096","0","72","0","10","0"
"206","1","0Scd05Lv","7S5FIh1f","Système de Londres","Ff5 sans c5","white","2026-04-13 23:13:06.697","27","27","4","10","1"
"208","1","0Scd05Lv","8W8C9gLS","Système de Londres","f5","white","2026-03-28 23:02:20.232","0","31","0","10","0"
"216","1","PZLELUzw","F555VQQy","Nimzo-Indienne","Cc3 puis Dc2, avec c5","black","2026-03-28 23:22:58.596","76","76","4","4","1"
"220","1","PZLELUzw","y75kNVCU","Nimzo-Indienne","Cc3 puis Dc2, avec Cc6","black","2026-03-28 23:26:37.532","22","22","2","4","1"
"238","1","PZLELUzw","PdhA15LA","Nimzo-Indienne","Cc3 - Tout sauf Dc2","black","2026-03-31 18:04:44.07","0","41","0","4","0"
"246","1","JJodqpzI","Ul9nouTS","Sicilienne dragon, début fermé","Cf3 puis Fc4","black","2026-03-31 20:56:42.005","7","7","0","5","1"
"255","9","T2CPHxUP","4hqajkWB","Gambit Benko & Bluemenfeld","Partie blumenfeld (et théorie)","white","2026-03-31 21:06:55.237","0","108","0","13","0"
"257","9","VanHKcn9","QFam6rkb","Nimzo","Chapitre : 1","white","2026-04-01 08:11:57.326","0","43","0","4","0"
