"id","user_id","repertoire_id","color","title","total_chapters","added_at"
"1","9","T2CPHxUP","white","Gambit Benko & Bluemenfeld","13","2026-03-31 21:06:55.237"
"5","1","Rqrw5eUM","black","Sicilienne dragon, variante Yougoslave","4","2026-04-01 20:46:19.303"
"7","9","VanHKcn9","white","Nimzo","4","2026-03-25 23:17:16.736"
"8","1","uajl8zTQ","black","Trompowsky","6","2026-04-01 08:25:16.017"
"9","1","0Scd05Lv","white","Système de Londres","10","2026-04-01 12:22:01.089"
"12","9","whCVdUeM","black","Stafford Gambit Traps","10","2026-04-01 08:20:20.019"
"13","1","LwoJI6UV","black","Benoni","5","2026-04-01 13:19:27.969"
"14","1","PZLELUzw","black","Nimzo-Indienne","4","2026-03-31 18:04:44.07"
"15","1","JJodqpzI","black","Sicilienne dragon, début fermé","5","2026-03-31 18:09:46.651"
"17","9","LDCZvBvp","white","The Fried Liver Attack Guide","6","2026-03-25 13:34:45.587"
"162","1","wfoZAiY7","white","ERR - Ouvertures : Gambit Evans","11","2026-04-13 21:57:44.630123"
